context,p(reform)
accurate,0.23249614174783093
articulate,0.24501376253314028
avoid-misgendering,0.236698956166528
avoid-overly-PC,0.2465434188460276
biological-differences,0.24458537008065293
conservative,0.2469340863494279
correct,0.23242384900234986
gender-continuum,0.27074036010922553
grammatical,0.2264920563597215
inclusive,0.23814085400796664
liberal,0.2653158825277651
linguistically valid,0.2465915532869105
natural,0.2310970223445757
progressive,0.24912631661645723
standard,0.23022673213246303
traditional-values,0.22569347088360647
